"team_number","hero_1","hero_2","hero_3","hero_4","hero_5","hero_6","enhancement_details"
"1","Adam Warlock","Angela","Black Panther","Star-Lord","Storm","Thor","Adam Warlock <- Storm; Angela <- Star-Lord; Black Panther <- Storm; Star-Lord <- Adam Warlock; Storm <- Thor; Thor <- Angela"
"355","Cyclops","Hela","Loki","Phoenix","Venom","Wolverine","Cyclops <- Phoenix; Hela <- Venom; Loki <- Hela; Phoenix <- Hela; Venom <- Phoenix; Wolverine <- Cyclops"
"356","Cyclops","Hela","Magik","Phoenix","The Hood","Venom","Cyclops <- Phoenix; Hela <- Venom; Magik <- The Hood; Phoenix <- Hela; The Hood <- Magik; Venom <- Phoenix"
"357","Cyclops","Hela","Phoenix","Spider-Man","Squirrel Girl","Venom","Cyclops <- Phoenix; Hela <- Venom; Phoenix <- Hela; Spider-Man <- Venom; Squirrel Girl <- Spider-Man; Venom <- Phoenix"
"358","Cyclops","Hela","Phoenix","Spider-Man","Thor","Venom","Cyclops <- Phoenix; Hela <- Venom; Phoenix <- Hela; Spider-Man <- Venom; Thor <- Hela; Venom <- Phoenix"
"359","Cyclops","Hela","Phoenix","Spider-Man","Venom","Wolverine","Cyclops <- Phoenix; Hela <- Venom; Phoenix <- Hela; Spider-Man <- Venom; Venom <- Phoenix; Wolverine <- Cyclops"
"360","Cyclops","Hela","Phoenix","Storm","Thor","Venom","Cyclops <- Phoenix; Hela <- Venom; Phoenix <- Hela; Storm <- Thor; Thor <- Hela; Venom <- Phoenix"
"361","Cyclops","Hela","Phoenix","Thor","Venom","Wolverine","Cyclops <- Phoenix; Hela <- Venom; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix; Wolverine <- Cyclops"
"362","Daredevil","Doctor Strange","Invisible Woman","Iron Fist","Mister Fantastic","The Thing","Daredevil <- Iron Fist; Doctor Strange <- Invisible Woman; Invisible Woman <- Mister Fantastic; Iron Fist <- The Thing; Mister Fantastic <- The Thing; The Thing <- Invisible Woman"
"363","Daredevil","Emma Frost","Iron Fist","Luna Snow","Psylocke","White Fox","Daredevil <- Iron Fist; Emma Frost <- Luna Snow; Iron Fist <- White Fox; Luna Snow <- White Fox; Psylocke <- Emma Frost; White Fox <- Psylocke"
"364","Daredevil","Human Torch","Iron Fist","Jubilee","The Hood","The Thing","Daredevil <- Iron Fist; Human Torch <- Jubilee; Iron Fist <- The Thing; Jubilee <- The Hood; The Hood <- Jubilee; The Thing <- Human Torch"
"365","Daredevil","Invisible Woman","Iron Fist","Mister Fantastic","The Punisher","The Thing","Daredevil <- Iron Fist; Invisible Woman <- Mister Fantastic; Iron Fist <- The Thing; Mister Fantastic <- The Thing; The Punisher <- Daredevil; The Thing <- Invisible Woman"
"366","Deadpool","Devil Dinosaur","Gambit","Jeff the Land Shark","Jubilee","The Hood","Deadpool <- Gambit; Devil Dinosaur <- Jeff the Land Shark; Gambit <- Jubilee; Jeff the Land Shark <- Deadpool; Jubilee <- The Hood; The Hood <- Jubilee"
"367","Deadpool","Devil Dinosaur","Hela","Jeff the Land Shark","Phoenix","Venom","Deadpool <- Hela; Devil Dinosaur <- Jeff the Land Shark; Hela <- Venom; Jeff the Land Shark <- Venom, Deadpool; Phoenix <- Hela; Venom <- Phoenix"
"368","Deadpool","Elsa Bloodstone","Gambit","Human Torch","Jubilee","The Hood","Deadpool <- Gambit; Elsa Bloodstone <- Deadpool; Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; The Hood <- Jubilee"
"369","Deadpool","Elsa Bloodstone","Gambit","Jeff the Land Shark","Jubilee","The Hood","Deadpool <- Gambit; Elsa Bloodstone <- Deadpool; Gambit <- Jubilee; Jeff the Land Shark <- Deadpool; Jubilee <- The Hood; The Hood <- Jubilee"
"370","Deadpool","Elsa Bloodstone","Gambit","Jubilee","Magik","The Hood","Deadpool <- Gambit; Elsa Bloodstone <- Deadpool; Gambit <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee"
"371","Deadpool","Elsa Bloodstone","Gambit","Jubilee","Moon Knight","The Hood","Deadpool <- Gambit; Elsa Bloodstone <- Deadpool; Gambit <- Jubilee; Jubilee <- The Hood; Moon Knight <- Elsa Bloodstone; The Hood <- Jubilee"
"372","Deadpool","Elsa Bloodstone","Gambit","Jubilee","Rogue","The Hood","Deadpool <- Gambit; Elsa Bloodstone <- Deadpool; Gambit <- Jubilee; Jubilee <- The Hood; Rogue <- Gambit; The Hood <- Jubilee"
"373","Deadpool","Elsa Bloodstone","Gambit","Jubilee","Scarlet Witch","The Hood","Deadpool <- Gambit; Elsa Bloodstone <- Deadpool; Gambit <- Jubilee; Jubilee <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"374","Deadpool","Elsa Bloodstone","Gambit","Jubilee","The Hood","Winter Soldier","Deadpool <- Gambit; Elsa Bloodstone <- Deadpool; Gambit <- Jubilee; Jubilee <- The Hood; The Hood <- Jubilee; Winter Soldier <- Elsa Bloodstone"
"375","Deadpool","Elsa Bloodstone","Gambit","Jubilee","The Hood","Wolverine","Deadpool <- Gambit; Elsa Bloodstone <- Deadpool; Gambit <- Jubilee; Jubilee <- The Hood; The Hood <- Jubilee; Wolverine <- Gambit"
"376","Deadpool","Elsa Bloodstone","Hela","Jeff the Land Shark","Phoenix","Venom","Deadpool <- Hela; Elsa Bloodstone <- Deadpool; Hela <- Venom; Jeff the Land Shark <- Venom, Deadpool; Phoenix <- Hela; Venom <- Phoenix"
"377","Deadpool","Elsa Bloodstone","Hela","Loki","Phoenix","Venom","Deadpool <- Hela; Elsa Bloodstone <- Deadpool; Hela <- Venom; Loki <- Hela; Phoenix <- Hela; Venom <- Phoenix"
"378","Deadpool","Elsa Bloodstone","Hela","Moon Knight","Phoenix","Venom","Deadpool <- Hela; Elsa Bloodstone <- Deadpool; Hela <- Venom; Moon Knight <- Elsa Bloodstone; Phoenix <- Hela; Venom <- Phoenix"
"379","Deadpool","Elsa Bloodstone","Hela","Phoenix","Spider-Man","Venom","Deadpool <- Hela; Elsa Bloodstone <- Deadpool; Hela <- Venom; Phoenix <- Hela; Spider-Man <- Venom; Venom <- Phoenix"
"380","Deadpool","Elsa Bloodstone","Hela","Phoenix","Thor","Venom","Deadpool <- Hela; Elsa Bloodstone <- Deadpool; Hela <- Venom; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix"
"381","Deadpool","Elsa Bloodstone","Hela","Phoenix","Venom","Winter Soldier","Deadpool <- Hela; Elsa Bloodstone <- Deadpool; Hela <- Venom; Phoenix <- Hela; Venom <- Phoenix; Winter Soldier <- Elsa Bloodstone"
"382","Deadpool","Gambit","Groot","Jeff the Land Shark","Jubilee","The Hood","Deadpool <- Gambit; Gambit <- Jubilee; Groot <- Jeff the Land Shark; Jeff the Land Shark <- Deadpool; Jubilee <- The Hood; The Hood <- Jubilee"
"383","Deadpool","Gambit","Hulk","Jubilee","The Hood","Wolverine","Deadpool <- Gambit; Gambit <- Jubilee; Hulk <- Wolverine; Jubilee <- The Hood; The Hood <- Jubilee; Wolverine <- Gambit"
"384","Deadpool","Gambit","Human Torch","Invisible Woman","Jubilee","The Hood","Deadpool <- Gambit; Gambit <- Jubilee; Human Torch <- Jubilee; Invisible Woman <- Human Torch; Jubilee <- The Hood; The Hood <- Jubilee"
"385","Deadpool","Gambit","Human Torch","Jeff the Land Shark","Jubilee","The Hood","Deadpool <- Gambit; Gambit <- Jubilee; Human Torch <- Jubilee; Jeff the Land Shark <- Deadpool; Jubilee <- The Hood; The Hood <- Jubilee"
"386","Deadpool","Gambit","Human Torch","Jubilee","Magik","The Hood","Deadpool <- Gambit; Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee"
"387","Deadpool","Gambit","Human Torch","Jubilee","Rogue","The Hood","Deadpool <- Gambit; Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; Rogue <- Gambit; The Hood <- Jubilee"
"388","Deadpool","Gambit","Human Torch","Jubilee","Scarlet Witch","The Hood","Deadpool <- Gambit; Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"389","Deadpool","Gambit","Human Torch","Jubilee","The Hood","The Thing","Deadpool <- Gambit; Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; The Hood <- Jubilee; The Thing <- Human Torch"
"390","Deadpool","Gambit","Human Torch","Jubilee","The Hood","Wolverine","Deadpool <- Gambit; Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; The Hood <- Jubilee; Wolverine <- Gambit"
"391","Deadpool","Gambit","Jeff the Land Shark","Jubilee","Magik","The Hood","Deadpool <- Gambit; Gambit <- Jubilee; Jeff the Land Shark <- Deadpool; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee"
"392","Deadpool","Gambit","Jeff the Land Shark","Jubilee","Rogue","The Hood","Deadpool <- Gambit; Gambit <- Jubilee; Jeff the Land Shark <- Deadpool; Jubilee <- The Hood; Rogue <- Gambit; The Hood <- Jubilee"
"393","Deadpool","Gambit","Jeff the Land Shark","Jubilee","Scarlet Witch","The Hood","Deadpool <- Gambit; Gambit <- Jubilee; Jeff the Land Shark <- Deadpool; Jubilee <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"394","Deadpool","Gambit","Jeff the Land Shark","Jubilee","Storm","The Hood","Deadpool <- Gambit; Gambit <- Jubilee; Jeff the Land Shark <- Deadpool; Jubilee <- The Hood; Storm <- Jeff the Land Shark; The Hood <- Jubilee"
"395","Deadpool","Gambit","Jeff the Land Shark","Jubilee","The Hood","Wolverine","Deadpool <- Gambit; Gambit <- Jubilee; Jeff the Land Shark <- Deadpool; Jubilee <- The Hood; The Hood <- Jubilee; Wolverine <- Gambit"
"396","Deadpool","Gambit","Jubilee","Magik","Rogue","The Hood","Deadpool <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; Rogue <- Gambit; The Hood <- Magik, Jubilee"
"397","Deadpool","Gambit","Jubilee","Magik","Scarlet Witch","The Hood","Deadpool <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Magik, Jubilee"
"398","Deadpool","Gambit","Jubilee","Magik","The Hood","Wolverine","Deadpool <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee; Wolverine <- Gambit"
"399","Deadpool","Gambit","Jubilee","Magneto","Scarlet Witch","The Hood","Deadpool <- Gambit; Gambit <- Jubilee, Magneto; Jubilee <- The Hood; Magneto <- Scarlet Witch; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"400","Deadpool","Gambit","Jubilee","Phoenix","Rogue","The Hood","Deadpool <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Phoenix <- Rogue; Rogue <- Gambit; The Hood <- Jubilee"
"401","Deadpool","Gambit","Jubilee","Rogue","Scarlet Witch","The Hood","Deadpool <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Rogue <- Gambit; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"402","Deadpool","Gambit","Jubilee","Rogue","The Hood","Wolverine","Deadpool <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Rogue <- Gambit; The Hood <- Jubilee; Wolverine <- Gambit"
"403","Deadpool","Gambit","Jubilee","Scarlet Witch","The Hood","Wolverine","Deadpool <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Jubilee; Wolverine <- Gambit"
"404","Deadpool","Groot","Hela","Jeff the Land Shark","Phoenix","Venom","Deadpool <- Hela; Groot <- Jeff the Land Shark; Hela <- Venom; Jeff the Land Shark <- Venom, Deadpool; Phoenix <- Hela; Venom <- Phoenix"
"405","Deadpool","Hela","Iron Man","Phoenix","Thor","Venom","Deadpool <- Hela; Hela <- Venom; Iron Man <- Thor; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix"
"406","Deadpool","Hela","Jeff the Land Shark","Loki","Phoenix","Venom","Deadpool <- Hela; Hela <- Venom; Jeff the Land Shark <- Venom, Deadpool; Loki <- Hela; Phoenix <- Hela; Venom <- Phoenix"
"407","Deadpool","Hela","Jeff the Land Shark","Phoenix","Spider-Man","Venom","Deadpool <- Hela; Hela <- Venom; Jeff the Land Shark <- Venom, Deadpool; Phoenix <- Hela; Spider-Man <- Venom; Venom <- Phoenix"
"408","Deadpool","Hela","Jeff the Land Shark","Phoenix","Storm","Venom","Deadpool <- Hela; Hela <- Venom; Jeff the Land Shark <- Venom, Deadpool; Phoenix <- Hela; Storm <- Jeff the Land Shark; Venom <- Phoenix"
"409","Deadpool","Hela","Jeff the Land Shark","Phoenix","Thor","Venom","Deadpool <- Hela; Hela <- Venom; Jeff the Land Shark <- Venom, Deadpool; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix"
"410","Deadpool","Hela","Jubilee","Phoenix","The Hood","Venom","Deadpool <- Hela; Hela <- Venom; Jubilee <- The Hood; Phoenix <- Hela; The Hood <- Jubilee; Venom <- Phoenix"
"411","Deadpool","Hela","Loki","Phoenix","Spider-Man","Venom","Deadpool <- Hela; Hela <- Venom; Loki <- Hela; Phoenix <- Hela; Spider-Man <- Venom; Venom <- Phoenix"
"412","Deadpool","Hela","Loki","Phoenix","Thor","Venom","Deadpool <- Hela; Hela <- Venom; Loki <- Hela; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix"
"413","Deadpool","Hela","Magik","Phoenix","The Hood","Venom","Deadpool <- Hela; Hela <- Venom; Magik <- The Hood; Phoenix <- Hela; The Hood <- Magik; Venom <- Phoenix"
"414","Deadpool","Hela","Phoenix","Spider-Man","Squirrel Girl","Venom","Deadpool <- Hela; Hela <- Venom; Phoenix <- Hela; Spider-Man <- Venom; Squirrel Girl <- Spider-Man; Venom <- Phoenix"
"415","Deadpool","Hela","Phoenix","Spider-Man","Thor","Venom","Deadpool <- Hela; Hela <- Venom; Phoenix <- Hela; Spider-Man <- Venom; Thor <- Hela; Venom <- Phoenix"
"416","Deadpool","Hela","Phoenix","Storm","Thor","Venom","Deadpool <- Hela; Hela <- Venom; Phoenix <- Hela; Storm <- Thor; Thor <- Hela; Venom <- Phoenix"
"417","Devil Dinosaur","Elsa Bloodstone","Hela","Jeff the Land Shark","Phoenix","Venom","Devil Dinosaur <- Jeff the Land Shark; Elsa Bloodstone <- Devil Dinosaur; Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Venom <- Phoenix"
"418","Devil Dinosaur","Groot","Hela","Jeff the Land Shark","Phoenix","Venom","Devil Dinosaur <- Jeff the Land Shark; Groot <- Jeff the Land Shark; Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Venom <- Phoenix"
"419","Devil Dinosaur","Groot","Mantis","Rocket Raccoon","Star-Lord","The Punisher","Devil Dinosaur <- The Punisher; Groot <- Mantis; Mantis <- Star-Lord; Rocket Raccoon <- Groot; Star-Lord <- Groot; The Punisher <- Rocket Raccoon"
"420","Devil Dinosaur","Hela","Jeff the Land Shark","Loki","Phoenix","Venom","Devil Dinosaur <- Jeff the Land Shark; Hela <- Venom; Jeff the Land Shark <- Venom; Loki <- Hela; Phoenix <- Hela; Venom <- Phoenix"
"421","Devil Dinosaur","Hela","Jeff the Land Shark","Phoenix","Spider-Man","Venom","Devil Dinosaur <- Jeff the Land Shark; Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Spider-Man <- Venom; Venom <- Phoenix"
"422","Devil Dinosaur","Hela","Jeff the Land Shark","Phoenix","Storm","Venom","Devil Dinosaur <- Jeff the Land Shark; Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Storm <- Jeff the Land Shark; Venom <- Phoenix"
"423","Devil Dinosaur","Hela","Jeff the Land Shark","Phoenix","Thor","Venom","Devil Dinosaur <- Jeff the Land Shark; Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix"
"424","Devil Dinosaur","Peni Parker","Rocket Raccoon","Spider-Man","Squirrel Girl","The Punisher","Devil Dinosaur <- The Punisher; Peni Parker <- Rocket Raccoon; Rocket Raccoon <- Squirrel Girl; Spider-Man <- Peni Parker; Squirrel Girl <- Spider-Man; The Punisher <- Rocket Raccoon"
"425","Doctor Strange","Gambit","Hulk","Jubilee","The Hood","Wolverine","Doctor Strange <- Hulk; Gambit <- Jubilee; Hulk <- Wolverine; Jubilee <- The Hood; The Hood <- Jubilee; Wolverine <- Gambit"
"426","Doctor Strange","Gambit","Hulk","Magneto","Scarlet Witch","Wolverine","Doctor Strange <- Hulk; Gambit <- Magneto; Hulk <- Wolverine; Magneto <- Scarlet Witch; Scarlet Witch <- Doctor Strange; Wolverine <- Gambit"
"427","Doctor Strange","Gambit","Human Torch","Invisible Woman","Jubilee","The Hood","Doctor Strange <- Invisible Woman; Gambit <- Jubilee; Human Torch <- Jubilee; Invisible Woman <- Human Torch; Jubilee <- The Hood; The Hood <- Jubilee"
"428","Doctor Strange","Human Torch","Invisible Woman","Jubilee","Magik","The Hood","Doctor Strange <- Invisible Woman; Human Torch <- Jubilee; Invisible Woman <- Human Torch; Jubilee <- The Hood; Magik <- Doctor Strange, The Hood; The Hood <- Magik, Jubilee"
"429","Doctor Strange","Human Torch","Invisible Woman","Jubilee","Scarlet Witch","The Hood","Doctor Strange <- Invisible Woman; Human Torch <- Jubilee; Invisible Woman <- Human Torch; Jubilee <- The Hood; Scarlet Witch <- Doctor Strange, Jubilee; The Hood <- Jubilee"
"430","Doctor Strange","Human Torch","Invisible Woman","Jubilee","The Hood","The Thing","Doctor Strange <- Invisible Woman; Human Torch <- Jubilee; Invisible Woman <- Human Torch; Jubilee <- The Hood; The Hood <- Jubilee; The Thing <- Human Torch, Invisible Woman"
"431","Doctor Strange","Invisible Woman","Iron Fist","Magik","Mister Fantastic","The Thing","Doctor Strange <- Invisible Woman; Invisible Woman <- Mister Fantastic; Iron Fist <- The Thing; Magik <- Doctor Strange; Mister Fantastic <- The Thing; The Thing <- Invisible Woman"
"432","Doctor Strange","Invisible Woman","Iron Fist","Mister Fantastic","Scarlet Witch","The Thing","Doctor Strange <- Invisible Woman; Invisible Woman <- Mister Fantastic; Iron Fist <- The Thing; Mister Fantastic <- The Thing; Scarlet Witch <- Doctor Strange; The Thing <- Invisible Woman"
"433","Doctor Strange","Invisible Woman","Jubilee","Mister Fantastic","The Hood","The Thing","Doctor Strange <- Invisible Woman; Invisible Woman <- Mister Fantastic; Jubilee <- The Hood; Mister Fantastic <- The Thing; The Hood <- Jubilee; The Thing <- Invisible Woman"
"434","Doctor Strange","Invisible Woman","Magik","Mister Fantastic","Scarlet Witch","The Thing","Doctor Strange <- Invisible Woman; Invisible Woman <- Mister Fantastic; Magik <- Doctor Strange; Mister Fantastic <- The Thing; Scarlet Witch <- Doctor Strange; The Thing <- Invisible Woman"
"435","Doctor Strange","Invisible Woman","Magik","Mister Fantastic","The Hood","The Thing","Doctor Strange <- Invisible Woman; Invisible Woman <- Mister Fantastic; Magik <- Doctor Strange, The Hood; Mister Fantastic <- The Thing; The Hood <- Magik; The Thing <- Invisible Woman"
"436","Doctor Strange","Invisible Woman","Magneto","Mister Fantastic","Scarlet Witch","The Thing","Doctor Strange <- Invisible Woman; Invisible Woman <- Mister Fantastic; Magneto <- Scarlet Witch; Mister Fantastic <- The Thing; Scarlet Witch <- Doctor Strange; The Thing <- Invisible Woman"
"437","Emma Frost","Gambit","Groot","Magneto","Mantis","Star-Lord","Emma Frost <- Mantis; Gambit <- Magneto; Groot <- Mantis; Magneto <- Emma Frost; Mantis <- Star-Lord; Star-Lord <- Groot"
"438","Emma Frost","Gambit","Luna Snow","Magneto","Psylocke","White Fox","Emma Frost <- Luna Snow; Gambit <- Magneto; Luna Snow <- White Fox; Magneto <- Emma Frost; Psylocke <- Emma Frost; White Fox <- Psylocke"
"439","Emma Frost","Groot","Hawkeye","Mantis","Psylocke","Star-Lord","Emma Frost <- Mantis; Groot <- Mantis; Hawkeye <- Psylocke; Mantis <- Star-Lord; Psylocke <- Emma Frost; Star-Lord <- Groot"
"440","Emma Frost","Groot","Jubilee","Mantis","Star-Lord","The Hood","Emma Frost <- Mantis; Groot <- Mantis; Jubilee <- The Hood; Mantis <- Star-Lord; Star-Lord <- Groot; The Hood <- Jubilee"
"441","Emma Frost","Groot","Loki","Magneto","Mantis","Star-Lord","Emma Frost <- Mantis; Groot <- Mantis; Loki <- Mantis; Magneto <- Emma Frost; Mantis <- Star-Lord; Star-Lord <- Groot"
"442","Emma Frost","Groot","Loki","Mantis","Psylocke","Star-Lord","Emma Frost <- Mantis; Groot <- Mantis; Loki <- Mantis; Mantis <- Star-Lord; Psylocke <- Emma Frost; Star-Lord <- Groot"
"443","Emma Frost","Groot","Loki","Mantis","Rocket Raccoon","Star-Lord","Emma Frost <- Mantis; Groot <- Mantis; Loki <- Mantis; Mantis <- Star-Lord; Rocket Raccoon <- Groot; Star-Lord <- Groot"
"444","Emma Frost","Groot","Magik","Mantis","Star-Lord","The Hood","Emma Frost <- Mantis; Groot <- Mantis; Magik <- The Hood; Mantis <- Star-Lord; Star-Lord <- Groot; The Hood <- Magik"
"445","Emma Frost","Groot","Magneto","Mantis","Psylocke","Star-Lord","Emma Frost <- Mantis; Groot <- Mantis; Magneto <- Emma Frost; Mantis <- Star-Lord; Psylocke <- Emma Frost; Star-Lord <- Groot"
"446","Emma Frost","Groot","Magneto","Mantis","Rocket Raccoon","Star-Lord","Emma Frost <- Mantis; Groot <- Mantis; Magneto <- Emma Frost; Mantis <- Star-Lord; Rocket Raccoon <- Groot; Star-Lord <- Groot"
"447","Emma Frost","Groot","Magneto","Mantis","Rogue","Star-Lord","Emma Frost <- Mantis; Groot <- Mantis; Magneto <- Emma Frost; Mantis <- Star-Lord; Rogue <- Magneto; Star-Lord <- Groot"
"448","Emma Frost","Groot","Mantis","Mister Fantastic","Rocket Raccoon","Star-Lord","Emma Frost <- Mantis; Groot <- Mantis; Mantis <- Star-Lord; Mister Fantastic <- Rocket Raccoon; Rocket Raccoon <- Groot; Star-Lord <- Groot"
"449","Emma Frost","Groot","Mantis","Peni Parker","Rocket Raccoon","Star-Lord","Emma Frost <- Mantis; Groot <- Mantis; Mantis <- Star-Lord; Peni Parker <- Rocket Raccoon; Rocket Raccoon <- Groot; Star-Lord <- Groot"
"450","Emma Frost","Groot","Mantis","Psylocke","Rocket Raccoon","Star-Lord","Emma Frost <- Mantis; Groot <- Mantis; Mantis <- Star-Lord; Psylocke <- Emma Frost; Rocket Raccoon <- Groot; Star-Lord <- Groot"
"451","Emma Frost","Groot","Mantis","Psylocke","Star-Lord","White Fox","Emma Frost <- Mantis; Groot <- Mantis; Mantis <- Star-Lord; Psylocke <- Emma Frost; Star-Lord <- Groot; White Fox <- Psylocke"
"452","Emma Frost","Groot","Mantis","Rocket Raccoon","Star-Lord","The Punisher","Emma Frost <- Mantis; Groot <- Mantis; Mantis <- Star-Lord; Rocket Raccoon <- Groot; Star-Lord <- Groot; The Punisher <- Rocket Raccoon"
"453","Emma Frost","Hawkeye","Iron Fist","Luna Snow","Psylocke","White Fox","Emma Frost <- Luna Snow; Hawkeye <- Psylocke; Iron Fist <- White Fox; Luna Snow <- White Fox; Psylocke <- Emma Frost; White Fox <- Psylocke"
"454","Emma Frost","Hawkeye","Luna Snow","Magneto","Psylocke","White Fox","Emma Frost <- Luna Snow; Hawkeye <- Psylocke; Luna Snow <- White Fox; Magneto <- Emma Frost; Psylocke <- Emma Frost; White Fox <- Psylocke"
"455","Emma Frost","Hawkeye","Luna Snow","Namor","Psylocke","White Fox","Emma Frost <- Luna Snow; Hawkeye <- Psylocke; Luna Snow <- White Fox; Namor <- Luna Snow; Psylocke <- Emma Frost; White Fox <- Psylocke"
"456","Emma Frost","Hela","Luna Snow","Namor","Psylocke","White Fox","Emma Frost <- Luna Snow; Hela <- Namor; Luna Snow <- White Fox; Namor <- Luna Snow; Psylocke <- Emma Frost; White Fox <- Psylocke"
"457","Emma Frost","Iron Fist","Luna Snow","Magneto","Psylocke","White Fox","Emma Frost <- Luna Snow; Iron Fist <- White Fox; Luna Snow <- White Fox; Magneto <- Emma Frost; Psylocke <- Emma Frost; White Fox <- Psylocke"
"458","Emma Frost","Iron Fist","Luna Snow","Namor","Psylocke","White Fox","Emma Frost <- Luna Snow; Iron Fist <- White Fox; Luna Snow <- White Fox; Namor <- Luna Snow; Psylocke <- Emma Frost; White Fox <- Psylocke"
"459","Emma Frost","Jubilee","Luna Snow","Psylocke","The Hood","White Fox","Emma Frost <- Luna Snow; Jubilee <- The Hood; Luna Snow <- White Fox; Psylocke <- Emma Frost; The Hood <- Jubilee; White Fox <- Psylocke"
"460","Emma Frost","Luna Snow","Magik","Psylocke","The Hood","White Fox","Emma Frost <- Luna Snow; Luna Snow <- White Fox; Magik <- The Hood; Psylocke <- Emma Frost; The Hood <- Magik; White Fox <- Psylocke"
"461","Emma Frost","Luna Snow","Magneto","Namor","Psylocke","White Fox","Emma Frost <- Luna Snow; Luna Snow <- White Fox; Magneto <- Emma Frost; Namor <- Luna Snow; Psylocke <- Emma Frost; White Fox <- Psylocke"
"462","Emma Frost","Luna Snow","Magneto","Psylocke","Rogue","White Fox","Emma Frost <- Luna Snow; Luna Snow <- White Fox; Magneto <- Emma Frost; Psylocke <- Emma Frost; Rogue <- Magneto; White Fox <- Psylocke"
"463","Gambit","Groot","Jubilee","Mantis","Star-Lord","The Hood","Gambit <- Jubilee; Groot <- Mantis; Jubilee <- The Hood; Mantis <- Star-Lord; Star-Lord <- Groot; The Hood <- Jubilee"
"464","Gambit","Hela","Jubilee","Phoenix","The Hood","Venom","Gambit <- Jubilee; Hela <- Venom; Jubilee <- The Hood; Phoenix <- Hela; The Hood <- Jubilee; Venom <- Phoenix"
"465","Gambit","Hulk","Human Torch","Jubilee","The Hood","Wolverine","Gambit <- Jubilee; Hulk <- Wolverine; Human Torch <- Jubilee; Jubilee <- The Hood; The Hood <- Jubilee; Wolverine <- Gambit"
"466","Gambit","Hulk","Iron Man","Jubilee","The Hood","Wolverine","Gambit <- Jubilee; Hulk <- Wolverine; Iron Man <- Hulk; Jubilee <- The Hood; The Hood <- Jubilee; Wolverine <- Gambit"
"467","Gambit","Hulk","Jubilee","Magik","The Hood","Wolverine","Gambit <- Jubilee; Hulk <- Wolverine; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee; Wolverine <- Gambit"
"468","Gambit","Hulk","Jubilee","Namor","The Hood","Wolverine","Gambit <- Jubilee; Hulk <- Wolverine; Jubilee <- The Hood; Namor <- Hulk; The Hood <- Jubilee; Wolverine <- Gambit"
"469","Gambit","Hulk","Jubilee","Rogue","The Hood","Wolverine","Gambit <- Jubilee; Hulk <- Wolverine; Jubilee <- The Hood; Rogue <- Gambit; The Hood <- Jubilee; Wolverine <- Gambit"
"470","Gambit","Hulk","Jubilee","Scarlet Witch","The Hood","Wolverine","Gambit <- Jubilee; Hulk <- Wolverine; Jubilee <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Jubilee; Wolverine <- Gambit"
"471","Gambit","Human Torch","Invisible Woman","Jubilee","Magik","The Hood","Gambit <- Jubilee; Human Torch <- Jubilee; Invisible Woman <- Human Torch; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee"
